"id","value_id","name","description","long description"
"144D","10","The Position of Negative Morphemes in SVO Languages","SOV/SOV but SNegVO","SVO/SOV in affirmative clauses, but SNegVO"
"144D","11","The Position of Negative Morphemes in SVO Languages","Other NegV","Other SVO with preverbal negative word"
"144D","12","The Position of Negative Morphemes in SVO Languages","Other VNeg","Other SVO with postverbal negative word"
"144D","13","The Position of Negative Morphemes in SVO Languages","More than one construction","More than one negative construction"
"144D","14","The Position of Negative Morphemes in SVO Languages","ObligNeg","SVO with obligatory double negation"
"144D","15","The Position of Negative Morphemes in SVO Languages","OptNeg","SVO with optional double negation"
"81B", Object,"Languages with two Dominant Orders of Subject, and Verb","1","SOV or SVO","SOV or SVO"
"81B", Object,"Languages with two Dominant Orders of Subject, and Verb","2","VSO or VOS","VSO or VOS"
"81B", Object,"Languages with two Dominant Orders of Subject, and Verb","3","SVO or VSO","SVO or VSO"
"81B", Object,"Languages with two Dominant Orders of Subject, and Verb","4","SVO or VOS","SVO or VOS"
"81B", Object,"Languages with two Dominant Orders of Subject, and Verb","5","SOV or OVS","SOV or OVS"
"143E","1","Preverbal Negative Morphemes","NegV","Preverbal negative word"
"143E","2","Preverbal Negative Morphemes","[Neg-V]","Negative prefix"
"143E","3","Preverbal Negative Morphemes","NegV&[Neg-V]","Both preverbal negative word and negative prefix"
"143E","4","Preverbal Negative Morphemes","None","No preverbal negative morpheme"
"143C","1","Optional Double Negation","NegV(Neg)","NegV(Neg)"
"143C","2","Optional Double Negation","(Neg)VNeg","(Neg)VNeg"
"143C","3","Optional Double Negation","Neg[V(-Neg)]","Neg[V(-Neg)]"
"143C","4","Optional Double Negation","(Neg)[V-Neg]","(Neg)[V-Neg]"
"143C","5","Optional Double Negation","[Neg-V](Neg)","[Neg-V](Neg)"
"143C","6","Optional Double Negation","[(Neg-)V]Neg","[(Neg-)V]Neg"
"143C","7","Optional Double Negation","[Neg-V(-Neg)]","[Neg-V(-Neg)]"
"143C","8","Optional Double Negation","[(Neg-)V-Neg]","[(Neg-)V-Neg]"
"143C","9","Optional Double Negation","V(Neg)Neg","V(Neg)Neg"
"143C","10","Optional Double Negation","[V-Neg](Neg)","[V-Neg](Neg)"
"143C","11","Optional Double Negation","Neg(Neg)V","Neg(Neg)V"
"143C","12","Optional Double Negation","Neg[(Neg-)]V","Neg[(Neg-)]V"
"143C","13","Optional Double Negation","NegV&OptChangeVerbStem","NegV plus optional change to verb stem"
"143C","14","Optional Double Negation","NegV/[Neg-V-Neg]","NegV/[Neg-V-Neg]"
"143C","15","Optional Double Negation","VNeg/[Neg-V-Neg]","VNeg/[Neg-V-Neg]"
"143C","16","Optional Double Negation","[Neg-V]/NegVNeg","[Neg-V]/NegVNeg"
"143C","17","Optional Double Negation","NegV or NegativeTone&VNeg","NegV or NegativeTone&VNeg"
"143C","18","Optional Double Negation","NegV/[V-Neg]/Neg[V-Neg]","NegV/[V-Neg]/Neg[V-Neg]"
"143C","19","Optional Double Negation","NegV/VNeg/NegVNeg","NegV/VNeg/NegVNeg"
"143C","20","Optional Double Negation","NegV/[V-Neg]/[Neg-V-Neg]","NegV/[V-Neg]/[Neg-V-Neg]"
"143C","21","Optional Double Negation","[Neg-V]/VNeg/[Neg-V-Neg]","[Neg-V]/VNeg/[Neg-V-Neg]"
"143C","22","Optional Double Negation","NegV/[Neg-V]/Neg[Neg-V]","NegV/[Neg-V]/Neg[Neg-V]"
"143C","23","Optional Double Negation","OptDoubleNeg&OptTripleNeg","Optional double negation with optional triple negation"
"90F","1","Adjoined relative clauses","Adjoined relative clause dominant","Adjoined relative clause dominant"
"90F","2","Adjoined relative clauses","Adjoined or correlative","Adjoined or correlative"
"143A","1","Order of Negative Morpheme and Verb","NegV","NegV"
"143A","2","Order of Negative Morpheme and Verb","VNeg","VNeg"
"143A","3","Order of Negative Morpheme and Verb","[Neg-V]","[Neg-V]"
"143A","4","Order of Negative Morpheme and Verb","[V-Neg]","[V-Neg]"
"143A","5","Order of Negative Morpheme and Verb","Negative Tone","Negative Tone"
"143A","6","Order of Negative Morpheme and Verb","Type 1 / Type 2","Type 1 / Type 2"
"143A","7","Order of Negative Morpheme and Verb","Type 1 / Type 3","Type 1 / Type 3"
"143A","8","Order of Negative Morpheme and Verb","Type 1 / Type 4","Type 1 / Type 4"
"143A","9","Order of Negative Morpheme and Verb","Type 2 / Type 3","Type 2 / Type 3"
"143A","10","Order of Negative Morpheme and Verb","Type 2 / Type 4","Type 2 / Type 4"
"143A","11","Order of Negative Morpheme and Verb","Type 3 / Type 4","Type 3 / Type 4"
"143A","12","Order of Negative Morpheme and Verb","Type 3 / Negative Infix","Type 3 / Negative Infix"
"143A","13","Order of Negative Morpheme and Verb","OptSingleNeg","Optional Single Negation"
"143A","14","Order of Negative Morpheme and Verb","ObligDoubleNeg","Obligatory Double Negation"
"143A","15","Order of Negative Morpheme and Verb","OptDoubleNeg","Optional Double Negation"
"143A","16","Order of Negative Morpheme and Verb","OptTripleNeg&ObligDoubleNeg","Optional Triple Negation with Obligatory Double Negation"
"143A","17","Order of Negative Morpheme and Verb","OptTripleNeg&OptDoubleNeg","Optional Triple Negation with Optional Double Negation"
"144W","1","Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object","Suffix&NoDoubleNeg","Suffix, no double negation"
"144W","2","Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object","Word&OnlyWithAnotherNeg","Separate word, immediately following verb, only occurs with another negative morpheme"
"144W","3","Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object","Suffix&OptDoubleNeg","Suffix, optional double negation, can occur without a second negative"
"144W","4","Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object","Suffix&OnlyWithAnotherNeg","Suffix, only occurs with another negative morpheme"
"144W","5","Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object","WordBetweenSAndO","Separate word, between subject and object"
"144W","6","Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object","None","Verb-initial but immediately postverbal negative or negative between subject and object does not occur"
"144O","1","Optional Double Negation in SOV languages","NegSOV(Neg)","NegSOV(Neg)"
"144O","2","Optional Double Negation in SOV languages","S(Neg)OVNeg","S(Neg)OVNeg"
"144O","3","Optional Double Negation in SOV languages","SNegOV(Neg)","SNegOV(Neg)"
"144O","4","Optional Double Negation in SOV languages","SNegO[V(-Neg)]","SNegO[V(-Neg)]"
"144O","5","Optional Double Negation in SOV languages","SO[(Neg-)V]Neg","SO[(Neg-)V]Neg"
"144O","6","Optional Double Negation in SOV languages","SO[Neg-V(-Neg)]","SO[Neg-V(-Neg)]"
"144O","7","Optional Double Negation in SOV languages","SO[(Neg-)V-Neg]","SO[(Neg-)V-Neg]"
"144O","8","Optional Double Negation in SOV languages","SO[V-Neg](Neg)","SO[V-Neg](Neg)"
"144O","9","Optional Double Negation in SOV languages","SOVNeg/SO[Neg-V-Neg]","SOVNeg/SO[Neg-V-Neg]"
"144O","10","Optional Double Negation in SOV languages","SNegO[V(-Neg)](Neg)","SNegO[V(-Neg)](Neg)"
"144O","11","Optional Double Negation in SOV languages","SOV but S[Neg-V-Neg]O/SO[V-Neg]","S[Neg-V-Neg]O/SO[V-Neg] but SOV in affirmative clauses"
"144O","12","Optional Double Negation in SOV languages","SO[Neg-V-(Neg)]/SOVNeg","SO[Neg-V-(Neg)]/SOVNeg"
"144O","13","Optional Double Negation in SOV languages","(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg","(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg"
"144O","14","Optional Double Negation in SOV languages","S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)]","S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)]"
"144O","15","Optional Double Negation in SOV languages","SOV & (Neg)[V-Neg]","SOV & (Neg)[V-Neg]"
"144O","16","Optional Double Negation in SOV languages","SOV & (Neg)[V(-Neg)]","SOV & (Neg)[V(-Neg)]"
"144O","17","Optional Double Negation in SOV languages","SOV/SVO & Neg[V-(Neg)]","SOV/SVO & Neg[V-(Neg)]"
"144O","18","Optional Double Negation in SOV languages","SV & OV & (Neg)V(Neg)","SV & OV & (Neg)V(Neg)"
"144O","19","Optional Double Negation in SOV languages","SV & OV &  (Neg)[V-Neg]","SV & OV &  (Neg)[V-Neg]"
"144O","20","Optional Double Negation in SOV languages","SV & OV &  [Neg-V(-Neg)]","SV & OV &  [Neg-V(-Neg)]"
"144O","21","Optional Double Negation in SOV languages","SV & OV &  [(Neg-)V-Neg]","SV & OV &  [(Neg-)V-Neg]"
"144Q","1","SNegOV Order","NoDoubleNeg","Separate word, no double negation"
"144Q","2","SNegOV Order","OptDoubleNeg","Separate word, optional double negation, with SNegOV possible without a second negative"
"144Q","3","SNegOV Order","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144Q","4","SNegOV Order","No SNegOV","SOV but SNegOV does not occur"
"144L","1","The Position of Negative Morphemes in SOV Languages","NegSOV","NegSOV"
"144L","2","The Position of Negative Morphemes in SOV Languages","SNegOV","SNegOV"
"144L","3","The Position of Negative Morphemes in SOV Languages","SONegV","SONegV"
"144L","4","The Position of Negative Morphemes in SOV Languages","SOVNeg","SOVNeg"
"144L","5","The Position of Negative Morphemes in SOV Languages","SO[Neg-V]","SO[Neg-V]"
"144L","6","The Position of Negative Morphemes in SOV Languages","SO[V-Neg]","SO[V-Neg]"
"144L","7","The Position of Negative Morphemes in SOV Languages","SVO but SNegOV","SNegOV but SVO in affirmative clauses"
"144L","8","The Position of Negative Morphemes in SOV Languages","SVO but SONegV","SONegV but SVO in affirmative clauses"
"144L","9","The Position of Negative Morphemes in SOV Languages","SVO but SOVNeg","SOVNeg but SVO in affirmative clauses"
"144L","10","The Position of Negative Morphemes in SOV Languages","SVO but SO[V-Neg]","SO[V-Neg] but SVO in affirmative clauses"
"144L","11","The Position of Negative Morphemes in SOV Languages","SVO but SO[Neg-V]","SO[Neg-V] but SVO in affirmative clauses"
"144L","12","The Position of Negative Morphemes in SOV Languages","SVO/SOV but SNegOV","SNegOV but SVO/SOV in affirmative clauses"
"144L","13","The Position of Negative Morphemes in SOV Languages","SVO/SOV but SOVNeg","SOVNeg but SVO/SOV in affirmative clauses"
"144L","14","The Position of Negative Morphemes in SOV Languages","Other NegV","Other SOV with preverbal negative word"
"144L","15","The Position of Negative Morphemes in SOV Languages","More than one construction","More than one negative construction"
"144L","16","The Position of Negative Morphemes in SOV Languages","ObligDoubleNeg","SOV with obligatory double negation"
"144L","17","The Position of Negative Morphemes in SOV Languages","OptDoubleNeg","SOV with optional double negation"
"144L","18","The Position of Negative Morphemes in SOV Languages","SV&OV&NegV","SV & OV & NegV"
"144L","19","The Position of Negative Morphemes in SOV Languages","SV&OV&VNeg","SV & OV & VNeg"
"144L","20","The Position of Negative Morphemes in SOV Languages","SV&OV&[Neg-V]","SV & OV & negative prefix"
"144L","21","The Position of Negative Morphemes in SOV Languages","SV&OV&[V-Neg]","SV & OV & negative suffix"
"144L","22","The Position of Negative Morphemes in SOV Languages","SV&OV&ImmedPreverbal","SV & OV with immediately preverbal negative word"
"144L","23","The Position of Negative Morphemes in SOV Languages","SV&OV&InitialNeg","SV & OV with clause-initial negative word"
"144H","1","NegSVO Order","NoDoubleNeg","Separate word, no double negation"
"144H","2","NegSVO Order","OptDoubleNeg","Separate word, optional double negation, with NegSVO possible without a second negative"
"144H","3","NegSVO Order","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144H","4","NegSVO Order","No NegSVO","SVO but NegSVO does not occur"
"144C","1","Languages with different word order in negative clauses","VSO, but NegSVO","VSO, but NegSVO"
"144C","2","Languages with different word order in negative clauses","SVO, but SNegOV","SVO, but SNegOV"
"144C","3","Languages with different word order in negative clauses","SVO, but SONegV","SVO, but SONegV"
"144C","4","Languages with different word order in negative clauses","SVO, but SOVNeg","SVO, but SOVNeg"
"144C","5","Languages with different word order in negative clauses","SVO, but NegVSO","SVO, but NegVSO"
"144C","6","Languages with different word order in negative clauses","SVO but SO[V-Neg]","SVO but SO[V-Neg]"
"144C","7","Languages with different word order in negative clauses","SVO but SO[Neg-V]","SVO but SO[Neg-V]"
"144C","8","Languages with different word order in negative clauses","OSV but NegSVO/O[Neg-V]S","OSV but NegSVO/O[Neg-V]S"
"144C","9","Languages with different word order in negative clauses","SVO, but NegSNegOV","SVO, but NegSNegOV"
"144C","10","Languages with different word order in negative clauses","SVO, but SONeg[V-Neg]/SO[Neg-V-Neg]","SVO, but SONeg[V-Neg]/SO[Neg-V-Neg]"
"144C","11","Languages with different word order in negative clauses","SOV but  SONeg[V-Neg]/S[Neg-V-Neg] O","SOV but  SONeg[V-Neg]/S[Neg-V-Neg] O"
"144C","12","Languages with different word order in negative clauses","SVO/VSO, but NegSVONeg","SVO/VSO, but NegSVONeg"
"144C","13","Languages with different word order in negative clauses","SVO/VSO, but [Neg-V]SO(Neg)","SVO/VSO, but [Neg-V]SO(Neg)"
"144C","14","Languages with different word order in negative clauses","SVO/SOV, but SVONeg","SVO/SOV, but SVONeg"
"144C","15","Languages with different word order in negative clauses","SVO/SOV, but SNegVO","SVO/SOV, but SNegVO"
"144C","16","Languages with different word order in negative clauses","SVO/SOV, but SNegOV","SVO/SOV, but SNegOV"
"144C","17","Languages with different word order in negative clauses","SVO/SOV, but SOVNeg","SVO/SOV, but SOVNeg"
"144T","1","The Position of Negative Morphemes in Verb-Initial Languages","NegVSO","NegVSO"
"144T","2","The Position of Negative Morphemes in Verb-Initial Languages","VSNegO","VSNegO"
"144T","3","The Position of Negative Morphemes in Verb-Initial Languages","VSONeg","VSONeg"
"144T","4","The Position of Negative Morphemes in Verb-Initial Languages","NegVOS","NegVOS"
"144T","5","The Position of Negative Morphemes in Verb-Initial Languages","NegVSO/NegVOS","NegVSO/NegVOS"
"144T","6","The Position of Negative Morphemes in Verb-Initial Languages","NegV & VS & VO","NegV & VS & VO"
"144T","7","The Position of Negative Morphemes in Verb-Initial Languages","SVO but NegVSO","NegVSO but SVO in affirmative clauses"
"144T","8","The Position of Negative Morphemes in Verb-Initial Languages","[Neg-V]SO","VSO with negative prefix"
"144T","9","The Position of Negative Morphemes in Verb-Initial Languages","[Neg-V]OS","VOS with negative prefix"
"144T","10","The Position of Negative Morphemes in Verb-Initial Languages","[V-Neg]OS","VOS with negative suffix"
"144T","11","The Position of Negative Morphemes in Verb-Initial Languages","[V-Neg] & VS &VO","[V-Neg] & VS &VO"
"144T","12","The Position of Negative Morphemes in Verb-Initial Languages","NegVSO/[Neg-V]SO","NegVSO/[Neg-V]SO"
"144T","13","The Position of Negative Morphemes in Verb-Initial Languages","NegVOS/[Neg-V]OS","NegVOS/[Neg-V]OS"
"144T","14","The Position of Negative Morphemes in Verb-Initial Languages","NegVSO/SNegVO","NegVSO/SNegVO"
"144T","15","The Position of Negative Morphemes in Verb-Initial Languages","VSONeg/SVONeg","VSONeg/SVONeg"
"144T","16","The Position of Negative Morphemes in Verb-Initial Languages","NegVOS/NegSVO","NegVOS/NegSVO"
"144T","17","The Position of Negative Morphemes in Verb-Initial Languages","NegVOS/SNegVO","NegVOS/SNegVO"
"144T","18","The Position of Negative Morphemes in Verb-Initial Languages","[Neg-V]OS/S[Neg-V]O","[Neg-V]OS/S[Neg-V]O"
"144T","19","The Position of Negative Morphemes in Verb-Initial Languages","NegV & VSO/SVO","NegV & VSO/SVO"
"144T","20","The Position of Negative Morphemes in Verb-Initial Languages","NegV & VOS/SVO","NegV & VOS/SVO"
"144T","21","The Position of Negative Morphemes in Verb-Initial Languages","OptSingleNeg","Verb-initial with optional single negation"
"144T","22","The Position of Negative Morphemes in Verb-Initial Languages","ObligDoubleNeg","Verb-initial with obligatory double negation"
"144T","23","The Position of Negative Morphemes in Verb-Initial Languages","OptDoubleNeg","Verb-initial with optional double negation"
"143G","1","Minor morphological means of signaling negation","NegTone","Negative tone"
"143G","2","Minor morphological means of signaling negation","NegInfix","Negative infix"
"143G","3","Minor morphological means of signaling negation","NegStemChange","Negative stem change"
"143G","4","Minor morphological means of signaling negation","None","No negative tone, infix or stem change"
"143D","1","Optional Triple Negation","(Neg)[Neg-V-Neg]","(Neg)[Neg-V-Neg]"
"143D","2","Optional Triple Negation","[V-Neg]Neg&OptNegInfix or Pref","[V-Neg]Neg with optional negative infix or prefix"
"143D","3","Optional Triple Negation","NegVNeg/NegNegVNeg","NegVNeg/NegNegVNeg"
"143D","4","Optional Triple Negation","Neg[V-Neg]/NegVNeg&NegTone","(i) Neg[V-Neg] or (ii) NegVNeg with negative tone"
"143D","5","Optional Triple Negation","Neg[V(-Neg)]Neg/[Neg-V(-Neg)]Neg","Neg[V(-Neg)]Neg/[Neg-V(-Neg)]Neg"
"143D","6","Optional Triple Negation","Neg[V-(Neg)](Neg)","Neg[V-(Neg)](Neg)"
"39B","1","Inclusive/Exclusive Forms in Pama-Nyungan","No inclusive/exclusive opposition","No inclusive/exclusive opposition"
"39B","2","Inclusive/Exclusive Forms in Pama-Nyungan","Inclusive and exclusive differentiated","Inclusive and exclusive differentiated"
"137B","1","M in Second Person Singular","No m in second person singular","No m in second person singular"
"137B","2","M in Second Person Singular","m in second person singular","m in second person singular"
"136B","1","M in First Person Singular","No m in first person singular","No m in first person singular"
"136B","2","M in First Person Singular","m in first person singular","m in first person singular"
"109B","1","Other Roles of Applied Objects","Instrument","Instrument"
"109B","3","Other Roles of Applied Objects","Instrument and locative","Instrument and locative"
"109B","2","Other Roles of Applied Objects","Locative","Locative"
"109B","5","Other Roles of Applied Objects","No applicative construction","No applicative construction"
"109B","4","Other Roles of Applied Objects","No other roles (= Only benefactive)","No other roles (= Only benefactive)"
"10B","1","Nasal Vowels in West Africa","no nasal vs. oral vowel contrast","no nasal vs. oral vowel contrast"
"10B","3","Nasal Vowels in West Africa","two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading","two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading"
"10B","2","Nasal Vowels in West Africa","two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading","two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading"
"10B","5","Nasal Vowels in West Africa","four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading","four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading"
"10B","4","Nasal Vowels in West Africa","four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading","four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading"
"25B","1","Zero Marking of A and P Arguments","Zero-marking","Zero-marking"
"25B","2","Zero Marking of A and P Arguments","Non-zero marking","Non-zero marking"
"21B","1","Exponence of Tense-Aspect-Mood Inflection","monoexponential TAM","monoexponential TAM"
"21B","3","Exponence of Tense-Aspect-Mood Inflection","TAM+agreement+diathesis","TAM+agreement+diathesis"
"21B","2","Exponence of Tense-Aspect-Mood Inflection","TAM+agreement","TAM+agreement"
"21B","5","Exponence of Tense-Aspect-Mood Inflection","TAM+polarity","TAM+polarity"
"21B","4","Exponence of Tense-Aspect-Mood Inflection","TAM+agreement+construct","TAM+agreement+construct"
"21B","6","Exponence of Tense-Aspect-Mood Inflection","no TAM","no TAM"
"108B","1","Productivity of the Antipassive Construction","productive","productive"
"108B","3","Productivity of the Antipassive Construction","not productive","not productive"
"108B","2","Productivity of the Antipassive Construction","partially productive","partially productive"
"108B","4","Productivity of the Antipassive Construction","no antipassive","no antipassive"
"130B","1","Cultural Categories of Languages with Identity of 'Finger' and 'Hand'","Hunter-gatherers","Hunter-gatherers"
"130B","3","Cultural Categories of Languages with Identity of 'Finger' and 'Hand'","Full-fledged farmers","Full-fledged farmers"
"130B","2","Cultural Categories of Languages with Identity of 'Finger' and 'Hand'","Farmer-foragers","Farmer-foragers"
"58B","1","Number of Possessive Nouns","None reported","None reported"
"58B","3","Number of Possessive Nouns","Two to four","Two to four"
"58B","2","Number of Possessive Nouns","One","One"
"58B","4","Number of Possessive Nouns","Five or more","Five or more"
"79B","1","Suppletion in Imperatives and Hortatives","A regular and a suppletive form alternate","A regular and a suppletive form alternate"
"79B","3","Suppletion in Imperatives and Hortatives","Hortative","Hortative"
"79B","2","Suppletion in Imperatives and Hortatives","Imperative","Imperative"
"79B","5","Suppletion in Imperatives and Hortatives","None (= no suppletive imperatives reported in the reference material)","None (= no suppletive imperatives reported in the reference material)"
"79B","4","Suppletion in Imperatives and Hortatives","Imperative and Hortative","Imperative and Hortative"
